"product_class_code","product_class_name","product_class_order","product_class_memo"
"096F5E8D1B7E7948A5770EC7EEC6921D","00.Subscription Service",0,
"20051107160333","01.SolidWorks 관련",1,0
"01232EA33CAC2B4DB119188A2EF9DD19","02.해석 제품",2,
"20050906192416","03.ND 관련",3,0
"20070525104911","04.HW 관련",4,0
"20070108154943","05.PDMWorks Enterprise 관련",5,0
"20051108142218","06.AutoCAD 관련",6,0
"20060508161455","07.SolidWorks 교육관련",7,0
D670DAB7342EC9488DBA70BDF79B09F4,"08.기타",8,
"20070811143429","09.제품관리",9,0
C736D084ABD9AF4FB3B03DFE7E86C5D6,"10.MS계열 제품군",10,
A7C59F483D864B4BB8269D3D44004DA8,"11.기타Software",11,
"520523E14503FB419B4CA10ECAFA2467","12.전략제품(보안)",12,
"12583F1C1960CF4C803C588726B81CCB","13. 3DEXPERIENCE Platform",13,